usCite,caseName,caseId,docketId,voteId,term,dateDecision,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,precedentAlteration,caseOrigin,caseOriginState,caseSource,caseSourceState,certReason,decisionType,issue,lawSupp,lawType,partyWinning
490 U.S. 30,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1988-068,1988-068-01,1988-068-01-01-01-01,1988,4/3/1989,1/11/1989,,"Indian, including Indian tribe or nation",,parent or parents,,no determinable alteration of precedent,State Trial Court,Mississippi,State Supreme Court,Mississippi,conflict between federal court and state court,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,petitioning party received a favorable disposition
490 U.S. 30,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1988-068,1988-068-01,1988-068-01-01-01-02,1988,4/3/1989,1/11/1989,,"Indian, including Indian tribe or nation",,parent or parents,,no determinable alteration of precedent,State Trial Court,Mississippi,State Supreme Court,Mississippi,conflict between federal court and state court,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,petitioning party received a favorable disposition
490 U.S. 30,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1988-068,1988-068-01,1988-068-01-01-01-03,1988,4/3/1989,1/11/1989,,"Indian, including Indian tribe or nation",,parent or parents,,no determinable alteration of precedent,State Trial Court,Mississippi,State Supreme Court,Mississippi,conflict between federal court and state court,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,petitioning party received a favorable disposition
490 U.S. 30,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1988-068,1988-068-01,1988-068-01-01-01-04,1988,4/3/1989,1/11/1989,,"Indian, including Indian tribe or nation",,parent or parents,,no determinable alteration of precedent,State Trial Court,Mississippi,State Supreme Court,Mississippi,conflict between federal court and state court,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,petitioning party received a favorable disposition
490 U.S. 30,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1988-068,1988-068-01,1988-068-01-01-01-05,1988,4/3/1989,1/11/1989,,"Indian, including Indian tribe or nation",,parent or parents,,no determinable alteration of precedent,State Trial Court,Mississippi,State Supreme Court,Mississippi,conflict between federal court and state court,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,petitioning party received a favorable disposition
490 U.S. 30,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1988-068,1988-068-01,1988-068-01-01-01-06,1988,4/3/1989,1/11/1989,,"Indian, including Indian tribe or nation",,parent or parents,,no determinable alteration of precedent,State Trial Court,Mississippi,State Supreme Court,Mississippi,conflict between federal court and state court,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,petitioning party received a favorable disposition
490 U.S. 30,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1988-068,1988-068-01,1988-068-01-01-01-07,1988,4/3/1989,1/11/1989,,"Indian, including Indian tribe or nation",,parent or parents,,no determinable alteration of precedent,State Trial Court,Mississippi,State Supreme Court,Mississippi,conflict between federal court and state court,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,petitioning party received a favorable disposition
490 U.S. 30,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1988-068,1988-068-01,1988-068-01-01-01-08,1988,4/3/1989,1/11/1989,,"Indian, including Indian tribe or nation",,parent or parents,,no determinable alteration of precedent,State Trial Court,Mississippi,State Supreme Court,Mississippi,conflict between federal court and state court,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,petitioning party received a favorable disposition
490 U.S. 30,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1988-068,1988-068-01,1988-068-01-01-01-09,1988,4/3/1989,1/11/1989,,"Indian, including Indian tribe or nation",,parent or parents,,no determinable alteration of precedent,State Trial Court,Mississippi,State Supreme Court,Mississippi,conflict between federal court and state court,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,petitioning party received a favorable disposition
490 U.S. 163,COTTON PETROLEUM CORP. et al. v. NEW MEXICO et al.,1988-076,1988-076-01,1988-076-01-01-01-01,1988,4/25/1989,11/30/1988,,"oil company, or natural gas producer",,State,New Mexico,no determinable alteration of precedent,State Trial Court,New Mexico,State Appellate Court,New Mexico,case did not arise on cert or cert not granted,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,no favorable disposition for petitioning party apparent
490 U.S. 163,COTTON PETROLEUM CORP. et al. v. NEW MEXICO et al.,1988-076,1988-076-01,1988-076-01-01-01-02,1988,4/25/1989,11/30/1988,,"oil company, or natural gas producer",,State,New Mexico,no determinable alteration of precedent,State Trial Court,New Mexico,State Appellate Court,New Mexico,case did not arise on cert or cert not granted,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,no favorable disposition for petitioning party apparent
490 U.S. 163,COTTON PETROLEUM CORP. et al. v. NEW MEXICO et al.,1988-076,1988-076-01,1988-076-01-01-01-03,1988,4/25/1989,11/30/1988,,"oil company, or natural gas producer",,State,New Mexico,no determinable alteration of precedent,State Trial Court,New Mexico,State Appellate Court,New Mexico,case did not arise on cert or cert not granted,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,no favorable disposition for petitioning party apparent
490 U.S. 163,COTTON PETROLEUM CORP. et al. v. NEW MEXICO et al.,1988-076,1988-076-01,1988-076-01-01-01-04,1988,4/25/1989,11/30/1988,,"oil company, or natural gas producer",,State,New Mexico,no determinable alteration of precedent,State Trial Court,New Mexico,State Appellate Court,New Mexico,case did not arise on cert or cert not granted,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,no favorable disposition for petitioning party apparent
490 U.S. 163,COTTON PETROLEUM CORP. et al. v. NEW MEXICO et al.,1988-076,1988-076-01,1988-076-01-01-01-05,1988,4/25/1989,11/30/1988,,"oil company, or natural gas producer",,State,New Mexico,no determinable alteration of precedent,State Trial Court,New Mexico,State Appellate Court,New Mexico,case did not arise on cert or cert not granted,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,no favorable disposition for petitioning party apparent
490 U.S. 163,COTTON PETROLEUM CORP. et al. v. NEW MEXICO et al.,1988-076,1988-076-01,1988-076-01-01-01-06,1988,4/25/1989,11/30/1988,,"oil company, or natural gas producer",,State,New Mexico,no determinable alteration of precedent,State Trial Court,New Mexico,State Appellate Court,New Mexico,case did not arise on cert or cert not granted,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,no favorable disposition for petitioning party apparent
490 U.S. 163,COTTON PETROLEUM CORP. et al. v. NEW MEXICO et al.,1988-076,1988-076-01,1988-076-01-01-01-07,1988,4/25/1989,11/30/1988,,"oil company, or natural gas producer",,State,New Mexico,no determinable alteration of precedent,State Trial Court,New Mexico,State Appellate Court,New Mexico,case did not arise on cert or cert not granted,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,no favorable disposition for petitioning party apparent
490 U.S. 163,COTTON PETROLEUM CORP. et al. v. NEW MEXICO et al.,1988-076,1988-076-01,1988-076-01-01-01-08,1988,4/25/1989,11/30/1988,,"oil company, or natural gas producer",,State,New Mexico,no determinable alteration of precedent,State Trial Court,New Mexico,State Appellate Court,New Mexico,case did not arise on cert or cert not granted,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,no favorable disposition for petitioning party apparent
490 U.S. 163,COTTON PETROLEUM CORP. et al. v. NEW MEXICO et al.,1988-076,1988-076-01,1988-076-01-01-01-09,1988,4/25/1989,11/30/1988,,"oil company, or natural gas producer",,State,New Mexico,no determinable alteration of precedent,State Trial Court,New Mexico,State Appellate Court,New Mexico,case did not arise on cert or cert not granted,opinion of the court (orally argued),"Indians, state jurisdiction over",Infrequently litigated statutes,6.0,no favorable disposition for petitioning party apparent
